#τ ε τ_err ε_err
-1.570796326794896558e+00 -7.853981633974482790e-01 2.957595541293346564e+00 0.000000000000000000e+00
-1.570796326794896558e+00 -7.695315338338634126e-01 3.140362974000604268e+00 3.127044660700128986e-05
-1.570796326794896558e+00 -7.536649042702786572e-01 3.140362974000604712e+00 6.250932594320524061e-05
-1.570796326794896558e+00 -7.377982747066937907e-01 3.140362974000604268e+00 9.368510284779585362e-05
-1.570796326794896558e+00 -7.219316451431090353e-01 3.140362974000605156e+00 1.247663063478343659e-04
-1.570796326794896558e+00 -7.060650155795241689e-01 3.140362974000605156e+00 1.557215616694307414e-04
-1.570796326794896558e+00 -6.901983860159394135e-01 3.140362974000605156e+00 1.865196221437770419e-04
-1.570796326794896558e+00 -6.743317564523545471e-01 3.140362974000605156e+00 2.171294009851720830e-04
-1.570796326794896558e+00 -6.584651268887697917e-01 3.140362974000605156e+00 2.475200028967394772e-04
-1.570796326794896558e+00 -6.425984973251849253e-01 3.140362974000605156e+00 2.776607554773047326e-04
-1.570796326794896558e+00 -6.267318677616001699e-01 3.140362974000605156e+00 3.075212403952365392e-04
-1.570796326794896558e+00 -6.108652381980153034e-01 3.140362974000605156e+00 3.370713242965006629e-04
-1.570796326794896558e+00 -5.949986086344305480e-01 3.140362974000605156e+00 3.662811894132866897e-04
-1.570796326794896558e+00 -5.791319790708456816e-01 3.140362974000605156e+00 3.951213638442307996e-04
-1.570796326794896558e+00 -5.632653495072608152e-01 3.140362974000605156e+00 4.235627514719286779e-04
-1.570796326794896558e+00 -5.473987199436760598e-01 3.140362974000605156e+00 4.515766614872074314e-04
-1.570796326794896558e+00 -5.315320903800913044e-01 3.140362974000605156e+00 4.791348374922899112e-04
-1.570796326794896558e+00 -5.156654608165064380e-01 3.140362974000605156e+00 5.062094861488786179e-04
-1.570796326794896558e+00 -4.997988312529216270e-01 3.140362974000605156e+00 5.327733053417937903e-04
-1.570796326794896558e+00 -4.839322016893368161e-01 3.140362974000605156e+00 5.587995118341848588e-04
-1.570796326794896558e+00 -4.680655721257520052e-01 3.140362974000605156e+00 5.842618683780109734e-04
-1.570796326794896558e+00 -4.521989425621671943e-01 3.140362974000605156e+00 6.091347102581967654e-04
-1.570796326794896558e+00 -4.363323129985823834e-01 3.140362974000605156e+00 6.333929712409869239e-04
-1.570796326794896558e+00 -4.204656834349975725e-01 3.140362974000605156e+00 6.570122088983554320e-04
-1.570796326794896558e+00 -4.045990538714127061e-01 3.140362974000605156e+00 6.799686292864315362e-04
-1.570796326794896558e+00 -3.887324243078278951e-01 3.140362974000605156e+00 7.022391109480219384e-04
-1.570796326794896558e+00 -3.728657947442430842e-01 3.140362974000605156e+00 7.238012282199113301e-04
-1.570796326794896558e+00 -3.569991651806582733e-01 3.140362974000605156e+00 7.446332738174632482e-04
-1.570796326794896558e+00 -3.411325356170734624e-01 3.140362974000605156e+00 7.647142806755380384e-04
-1.570796326794896558e+00 -3.252659060534886515e-01 3.140362974000605156e+00 7.840240430234679536e-04
-1.570796326794896558e+00 -3.093992764899038406e-01 3.140362974000605156e+00 8.025431366734947503e-04
-1.570796326794896558e+00 -2.935326469263190297e-01 3.140362974000605156e+00 8.202529385010759455e-04
-1.570796326794896558e+00 -2.776660173627342187e-01 3.140362974000605156e+00 8.371356451000733223e-04
-1.570796326794896558e+00 -2.617993877991493523e-01 3.140362974000605156e+00 8.531742905918404674e-04
-1.570796326794896558e+00 -2.459327582355645969e-01 3.140362974000605156e+00 8.683527635726662197e-04
-1.570796326794896558e+00 -2.300661286719797305e-01 3.140362974000605156e+00 8.826558231818659728e-04
-1.570796326794896558e+00 -2.141994991083949751e-01 3.140362974000605156e+00 8.960691142766985529e-04
-1.570796326794896558e+00 -1.983328695448101087e-01 3.140362974000605156e+00 9.085791816966226619e-04
-1.570796326794896558e+00 -1.824662399812253533e-01 3.140362974000605156e+00 9.201734836064290324e-04
-1.570796326794896558e+00 -1.665996104176404868e-01 3.140362974000605156e+00 9.308404039033713051e-04
-1.570796326794896558e+00 -1.507329808540557314e-01 3.140362974000605156e+00 9.405692636781093352e-04
-1.570796326794896558e+00 -1.348663512904708650e-01 3.140362974000605156e+00 9.493503317180573831e-04
-1.570796326794896558e+00 -1.189997217268861096e-01 3.140362974000605156e+00 9.571748340436309066e-04
-1.570796326794896558e+00 -1.031330921633012432e-01 3.140362974000605156e+00 9.640349624693844710e-04
-1.570796326794896558e+00 -8.726646259971648778e-02 3.140362974000605156e+00 9.699238821824496259e-04
-1.570796326794896558e+00 -7.139983303613162136e-02 3.140362974000605156e+00 9.748357383306816004e-04
-1.570796326794896558e+00 -5.553320347254686595e-02 3.140362974000605156e+00 9.787656616168094459e-04
-1.570796326794896558e+00 -3.966657390896199953e-02 3.140362974000605156e+00 9.817097728927678957e-04
-1.570796326794896558e+00 -2.379994434537713310e-02 3.140362974000605156e+00 9.836651867515741610e-04
-1.570796326794896558e+00 -7.933314781792377701e-03 3.140362974000605156e+00 9.846300141140825260e-04
-1.570796326794896558e+00 7.933314781792488724e-03 3.140362974000605156e+00 9.846033638094484064e-04
-1.570796326794896558e+00 2.379994434537724413e-02 3.140362974000605156e+00 9.835853431489731402e-04
-1.570796326794896558e+00 3.966657390896211055e-02 3.140362974000605156e+00 9.815770574939791659e-04
-1.570796326794896558e+00 5.553320347254686595e-02 3.140362974000605156e+00 9.785806088195569963e-04
-1.570796326794896558e+00 7.139983303613173238e-02 3.140362974000605156e+00 9.745990932766707138e-04
-1.570796326794896558e+00 8.726646259971648778e-02 3.140362974000605156e+00 9.696365977571730355e-04
-1.570796326794896558e+00 1.031330921633013542e-01 3.140362974000605156e+00 9.636981954650319926e-04
-1.570796326794896558e+00 1.189997217268861096e-01 3.140362974000605156e+00 9.567899405011209835e-04
-1.570796326794896558e+00 1.348663512904709760e-01 3.140362974000605156e+00 9.489188614669741284e-04
-1.570796326794896558e+00 1.507329808540557314e-01 3.140362974000605156e+00 9.400929540958058439e-04
-1.570796326794896558e+00 1.665996104176405979e-01 3.140362974000605156e+00 9.303211729190241641e-04
-1.570796326794896558e+00 1.824662399812253533e-01 3.140362974000605156e+00 9.196134219789653397e-04
-1.570796326794896558e+00 1.983328695448102197e-01 3.140362974000605156e+00 9.079805445953437193e-04
-1.570796326794896558e+00 2.141994991083949751e-01 3.140362974000605156e+00 8.954343122006824807e-04
-1.570796326794896558e+00 2.300661286719798415e-01 3.140362974000605156e+00 8.819874122537874062e-04
-1.570796326794896558e+00 2.459327582355645969e-01 3.140362974000605156e+00 8.676534352461129362e-04
-1.570796326794896558e+00 2.617993877991495744e-01 3.140362974000605156e+00 8.524468608144264437e-04
